text,binary,multiclass,id
"#USER# HELP THE EXPRESSIONS 
that's too funny sjfhdkfhs I WISH I knew who these people were so I could comment ur wonderful art PROPERLY but sadly I am behind on the times orz 
either way love this and love u shawty 💖💖",Not Hope,Not Hope,7835
"#USER# #USER# He can pray all he wants, just not at school, not hard to understand",Hope,Realistic Hope,2599
I’m a very hopeful person. So things can look bad and I’ll still be hopeful for a positive turnaround/outcome.,Hope,Generalized Hope,4568
"#USER# You do realize you have always been allowed to read the Koran, right? You just aren’t allowed to push a religion. The kids were never told to pray. Some chose to, some chose not to. This protects ALL religions. Sorry you are confused. Critical thinking is hard",Not Hope,Not Hope,5303
#USER# #USER# I don’t mean to offend Richard. I know you don’t hate poor people. So I guess I am hoping for a miracle from Australia inst. miracle is the wrong word,Hope,Unrealistic Hope,3854
#USER# He just sold my free entry 🤦‍♂️ WHO HITS A BATTER ON A 0-2 COUNT ??? WHOOOO,Not Hope,Not Hope,8025
When someone lies under oath to get a job we can expect him to lie in his opinions too - pathetic #URL#,Not Hope,Not Hope,2678
"Wake up , pray 🙏, be faithful, believe and give , but least of all don’t forget to make money 💰…..

Remember every 🐐 on it’s own peg! (African proverb)",Hope,Generalized Hope,7263
"I just don’t understand how slagging someone &amp; doing everything they can to hurt them makes them laugh. I also don’t like how it’s apparently socially acceptable to do this to someone who has an unpopular opinion. I don’t believe bullying is ever okay.

I am 100% aware that",Not Hope,Not Hope,6624
#USER# #USER# hope you guys got d msg from d youth. Pls &amp; pls conduct free and fair elections to avoid wahala for Nigeria 🇳🇬 respect d youths choice,Hope,Realistic Hope,6513
"#USER# #USER# I would anticipate this is out of his hands.

Those above him will need to ‘rubber stamp’ it and having seen how this cabinet operates, they will want to ensure any loss to the treasury is covered elsewhere etc.",Not Hope,Not Hope,1386
#USER# #USER# I’m with you man. Hoping and wishing for bombshells is a fools errand.,Not Hope,Not Hope,6581
#USER# #USER# What can I say to that I aspire to be 12.5 Stone. I don’t know where I go wrong,Not Hope,Not Hope,7244
Guys I’m buying a ticket to Dreamscape and hoping that a carnivorous cell doesn’t eat me,Hope,Unrealistic Hope,7967
"#USER# Hello beautiful Soul ely, 
Bon soir Mademoiselle ely, 

Si c'est vous congratulations very sweet and wonderful......

I wish you beautiful evening with all my Honor and all my Respekt. 

I sent you many greetings, tender hugs and many blessings. Kisses Daniel.. #URL#",Hope,Generalized Hope,3187
"And become king of 6 horsemen
Does that make me lucky number 7?
I'd like to say I ate great
Does that answer your question or mine
10 times you ask me to rhyme
So fine, dine on these half eleven steps 
And count to twelve",Not Hope,Not Hope,463
"#USER# I know Gege will give Yuji something really cool that we all do not expect. Plus I see a lotta posts about Yuji about to ""inherit"" Sukuna's ct but I see Yuji about get and make those for himself🔥🔥🔥🔥. Sukuna doesn't even help him in the first place.",Not Hope,Not Hope,8041
"#USER# Good for you. People may be struggling right now and lots will think this is a tone deaf post. But you too were struggling once, you’ve worked bloody hard and you’ve given people jobs on the way. We need to have something to aspire to. Being envious of others is a downward spiral",Hope,Generalized Hope,879
"#USER# This is still going to be treated just like the testimony of those who escaped the concentration camps...
Count on it.",Not Hope,Not Hope,2411
#USER# #USER# First game for me + first time trying #19’s afterwards incroyable day. Inshallah many more next season,Hope,Generalized Hope,5449
"Today about 10-20 people who have never interacted with BCE decided to mention hop to tussle about HU &amp; JSU All day. Then the second shift came. 
I just hope when my scholarship link drop all of y'all show up just as loud! I also pray all of y'all give back the way y'all acting",Hope,Generalized Hope,5837
"#USER# #USER# The bloody editor has only just finished the cuts, the bloody director is going on holiday in 3 weeks and the bloody producer is going bonkers with these creatives. Expect completion in late autumn and hopeful then out by year’s end",Hope,Generalized Hope,4075
"#USER# #USER# #USER# #USER# I do not think fetal personhood is a relevant question.  I don't think fetal personhood is a thing. The lack of any real pregnancy or parental support in the U.S. would suggest that basically every pro-life politician doesn't believe in it either, not where it counts.",Not Hope,Not Hope,1690
"#USER# I stg. But with the rate things are going, I almost anticipate that they'll say only Yt M3n can run for elected positions. 😒",Not Hope,Not Hope,2560
"#USER# #USER# You need to get out of your bubble.  If it’s any consolation, liberals also get upset when I question their (obviously misguided) beliefs.  I keep hoping conservatives will have more grit.",Hope,Generalized Hope,6040
"#USER# what i yearn for the most is to see that correspondence work done!
but right now I don't see any reproducible experiments to record or impose anyone's notion of ""thought"".
the toy surgery kits to turn a bug into a robot controlled like a videogame prove only pre-motor function. #URL#",Not Hope,Not Hope,5880
"#USER# I thought one team or the other would dominate, &amp; I did not anticipate a split.  In an odd way, I was right:  except for the late innings of Games 1 &amp; 4, HOU's pitching dominated the series.  The Astros could've swept 'em, &amp; would have w/ a more rested bullpen.",Not Hope,Not Hope,3085
Democrats should not count on winning midterm elections with $6.00 gasoline. Forces that control prices of oil wont let up. That includes American oil companies and Putin's oil companies. They have the same goal. Act now!!!,Not Hope,Not Hope,2179
#USER# Praise to God! Grateful you are back with us my fren and hopeful for a quick recovery 🙏,Hope,Generalized Hope,3543
We usually expect too much from people. Often we judge them based on their actions even as we judge ourselves based on our intentions.,Not Hope,Not Hope,2716
"#USER# #USER# It IS debug! I was hoping this could be incorporated into rat birthdays but you know Lance, I don't really do commissions but I can always do something fun on the side for fellow yogurt fans!",Hope,Realistic Hope,7802
"if you should ever leave me, life would go on; believe me. the world could show nothing to me, so what good would living do me? god only knows what i'd be without you.",Not Hope,Not Hope,2134
#USER# #USER# #USER# I am hoping they've had wiretaps on people. Seems strange to take his phone now.,Hope,Unrealistic Hope,4414
#USER# #USER# #USER# Another audit?  They  didn't do a first one.  If you were paying attention . But they count on that.  Hey three cheers for the Dems. Yay!  That's not tinfoil?  A recount is not an audit. Why do you insist it is?,Not Hope,Not Hope,2261
"#USER# #USER# #USER# #USER# I mean, if so called Christian conservative judges can blatantly lie during their Senate confirmation hearings, not sure why anyone would expect anything different from the ""tolerant right"".",Not Hope,Not Hope,873
wait how is it already 7:39pm lmao didn’t expect that it feels like it was just 6,Not Hope,Not Hope,3812
"Hoping Arteta’s vision for Lisandro Martinez isn’t backline-exclusive. Can see him offering plenty from DM, almost like a Libero. 

Very handy in Partey’s absence, or even as a direct challenger.",Hope,Generalized Hope,2995
"#USER# is essentially saying that the GOP platform is to help women understand that being barefoot &amp; pregnant at home is a good thing, and something that ALL women should aspire for. Entrust the men to bring home the bacon. Just make sure that dinner is ready by 5. #RoeVsWade #URL# #URL#",Not Hope,Not Hope,3513
"If I could have one wish, it would be for #USER# #USER# and #USER# cold brew to be available in every airport.",Hope,Unrealistic Hope,5226
"I sympathize with Biden's emotion - my problem is he totters back and forth between toughness and a desire to avoid ""provocations.""  RU doesn't care about provocations - but if they want war they will have it when they want it. So let's stop trying to pretend we can control them. #URL#",Not Hope,Not Hope,6685
"#USER# No god, i wish. I was just sayin hi bc you said to! Enjoy it for me, though!",Hope,Unrealistic Hope,7402
#USER# We just anticipate it now and are ready to be randomly selected. My children might struggle in math when it comes to probability and the definition of random as they will think It means every time. 🤷🏽‍♀️,Not Hope,Not Hope,3139
"My 75 yr old neighbor told me at 18, her first job interview, was asked are you, or do you anticipate being pregnant 🤰. #URL#",Not Hope,Not Hope,2076
"Also, when feeling called, pray for help and blessings to reach it during those moment of silence. #VibrationsRising #URL#",Hope,Generalized Hope,3071
"If somebody believes life begins at conception, but doesn't defend that life b/c others may not believe the same or they can't prove it thru ""science"", that person is a pathological over-socialized psychopath.",Not Hope,Not Hope,7371
"#USER# Actual game feedback. When I give my game to friends to play they aren’t thinking critically enough (for me). I yearn for criticism but they don’t see games through Dev-tinted glasses, they see a wip that is “really cool” but that’s pretty much the gist of the conversation.",Not Hope,Not Hope,5110
"""We all yearn for change in Nigeria, but most of us are not ready to let the change begin with us. We wait for the perfect time and for the perfect condition before we can do things right. But change does not happen that way"" Ikennan Okoli",Not Hope,Not Hope,312
#USER# I was hoping for a meteor but he want us gone slow and painfully lol,Hope,Unrealistic Hope,5213
actually €400 is so good for a flight to america but i have like 10 other things i need to save for and i'm thinking of going back to college 😭 i really really hope they come to europe,Hope,Realistic Hope,1348
"The Desire Paradox: The more you want something, the more you chase after it, the more it eludes you. - Robert Greene #quote #paradox #URL#",Not Hope,Not Hope,1095
"#USER# #USER# Feels like his signing would be integral to the Jesus one - rather than signing 1 £100m player, get both of these to add depth and inter-play up front. I'm hopeful.",Hope,Generalized Hope,5929
"#USER# Having a virtual 🍿🍿 party. 

Sorry, it's not funny, but hard to avoid the desire to share the moment with other like-minded folks.",Not Hope,Not Hope,6787
"Fake News peddler , jihadi propaganda gang member zubair is arrested by Delhi Police

Count down was on for long as he was trying to cause communal tension and riots through his fake news platforms
#ArrestZubair",Not Hope,Not Hope,4294
"I’m really looking forward to Canada Day, I’m hoping to do something for a video of Canada Day for my YouTube channel!!!",Hope,Generalized Hope,6928
#USER# #USER# is going to expect that dope money contribution. All the dealers are giving duffle bags..she says,Not Hope,Not Hope,526
#USER# #USER# #USER# I wish I had the tweet from AU….this would have been a good time to remind all why we don’t trust AU!,Hope,Unrealistic Hope,6137
"#USER# Can do Capitalism at its finest.
I do wish your father well, although it's very unlikely that he will receive any sympathy from the provider.",Not Hope,Not Hope,3159
"she informed me on the best countries to go for sex, the prices of high end watches &amp; belts, that she has murdered several people and was the softest woman i’ve ever touched, she also started singing at the bartender.. she’s everything i aspire to be.",Hope,Generalized Hope,2384
Let’s begin. Our first dying wish is Murrit’s! She’s.. drawn me getting hit by a car. I have something radiating off of me. I believe they are stink lines.,Not Hope,Not Hope,1534
"#USER# As someone who was always the off-beat kid in dance lessons, who worried for years, let me tell you: let it go. Dance to your heart's desire and it will make you so happy. People will just think you're fun to be around 💜",Hope,Generalized Hope,5136
"#USER# That could explain why i like them chuuvas, I yearn for a big sister to love as the older sibling.",Hope,Unrealistic Hope,897
"#USER# will album CD sales reflect on the Hot 100 too?

For Scars, it did count since it’s a single, not album. I’m curious for CIRCUS.",Not Hope,Not Hope,913
"#USER# Too much emphasis placed on follower amount of projects and individuals. So cheap to bot those numbers, lots of people doing it!

Get to know people before judging them almost entirely on their follower count! You'll unearth some diamonds!",Not Hope,Not Hope,4039
#USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# The name of the city?  *hopeful ears*. Olls x😊,Hope,Generalized Hope,6154
"#USER# Interesting but I could buy it. You would anticipate the jamming systems on high-end Russian fighters would be able to destroy the S-300 family of radars. Additionally, I could see S-300 operators avoiding manned fighters to prevent AS-17 retaliatory strikes",Not Hope,Not Hope,3214
#USER# Corrupt Dishonest Crook Nawaz Chor League Supporter.  Son in Law of Saeed Mehdi Corrupt Nawaz x Principle Secretary! Inshallah their Children’s will pay the price of their Haram earnings . Write down inshallah #BajwaHasToGo #URL#,Not Hope,Not Hope,1116
#USER# #USER# It is exciting to guess who the “mystery witness” will be.  But the. only thing we all can count on is that we’ll see the (promised robust ) defense of #DonTheCon again as manifested by a whining tweet by #USER# about the price of gas!,Hope,Generalized Hope,1634
"This study from the US Environmental Protection Agency (EPA) and ASHRAE seeks to develop guidelines for commercial buildings, including schools, to help reduce wildfire smoke exposure.

Check it out here - #URL# #AirMonitoringMadeEasy",Not Hope,Not Hope,1587
#USER# Your already a winner in my book; but I hope you accomplish all the things you desire to achieve as well,Hope,Generalized Hope,4506
"This is why I always have N.W.A., Body Count and 2 Live Crew on a USB stick when I drive. #URL#",Not Hope,Not Hope,2723
"#USER# I hope this goes well for you. My daughter attended a small country school in the Waikato, it did not go well. Then tried a town school, bigger country school, and so on. Thankfully my only sacrifice was time and my mental health",Hope,Generalized Hope,4531
The hill around our new patio was graded &amp; ready for seed. So for something different &amp; hopefully natural…we seeded with a mix of clover &amp; low growing wild flowers. I’m going to mix in a couple of ground cover perennials. Hoping it’s as pretty in RL as it is in my brain 🌼🌸🍀 #URL#,Hope,Realistic Hope,2221
#USER# #USER# #USER# #USER# And what do you expect on after parties?all of them just drinking and glued in their seats?,Not Hope,Not Hope,6910
"#USER# Hey! So the discord server is not actually out right now as I am looking for some people who will be moderators, but I am hoping to get it out in the next few days:) I will dm you with a link as soon as the discord is active.",Hope,Realistic Hope,4973
#USER# #USER# The minute my man leads the O-line in a prayer in the direction of Mecca SCOTUS is gonna rehear the case on merits. Count on it.,Hope,Realistic Hope,3597
"#USER# I hope so but I don’t trust independent progressives to vote in the midterms &amp;if they do,they’re going to have to show me they’ll make their votes count on Dems &amp;not just throw them away on an assortment of 3rd-party candidates. I HOPE,but we’ll have to see. Idk what’ll happen.🤷‍♂️",Hope,Generalized Hope,3212
"#DivinePlayAtMaghar
On this, Kabir Saheb expressed a desire to take a bath in the flowing water. Bijali Khan replied humbly. ""There is no flowing river in the near vicinity and the only river Aami has dried up due to the curse of Lord Shiv.

Kabir is God",Not Hope,Not Hope,8225
i wish i were an idol so people would make fun 24-second edits of all the times i've ever looked even a LITTLE sassy in public and set it to flo milli,Hope,Unrealistic Hope,5410
"#USER# Cause he said he didn’t run it out. Said they expect him to, he agreed, that was the end of it.",Not Hope,Not Hope,2122
I’m hoping bulls fans don’t feed into the KD to Chicago none sense… it’ll never happen! But watch people rocket their expectations of it happening,Hope,Unrealistic Hope,405
#USER# Id be honored if I was chosen your art is beautiful :o I hope you get a lot of submissions! :3 #URL#,Hope,Generalized Hope,1335
"#USER# #USER# Yeah that’s a problem, you know I don’t think this is the times to come out with this publicly and expect positive feedback. feedback I think it will hurt more than help. she has a huge family who has been down a lot of roads, I would think they would help,🙏🏻",Hope,Generalized Hope,766
"#USER# Call DCFS in your county, but I wouldn’t count on passing the background check.",Not Hope,Not Hope,5970
#USER# #USER# #USER# Higher Ground is my favorite followed by Lost Without You.  I watch these over and over !!  Heartfelt and Hopeful stories !!,Hope,Generalized Hope,2734
#USER# Do that! Take a nap for yourself! It might help you feel less bleh. If you do then I hope it's well! :D,Hope,Generalized Hope,1799
"#USER# #USER# maybe someday you can use my code (: get you some for now though with FUELUP, i believe its 20% off (:",Hope,Generalized Hope,3646
"#USER# Not yet, we’re headed that way.  I honestly believe if we were as bad we’d be gone.

Just a thought: we could be as bad just not for as long 🤔",Not Hope,Not Hope,7192
#USER# Is there any hope for getting Sidney Prescott in the game as a survivor I think she’d be a perfect addition to the realm,Not Hope,Not Hope,2506
I knew It was gonna end in heartbreak but I was still hoping for the best. That’s my downfall.,Hope,Generalized Hope,6242
"""The Devil You Don't"", be careful what you wish for
What do you do when your girlfriend dumps you by text?
Certainly not this!
https://t.co/Z0td4J9hjV
#booklovers #weekendread #bookstoread #actionadventure
#retweet #rt #iartg #asmsg #ian1 #bookblogger #indieauthor",Not Hope,Not Hope,830
#USER# #USER# Do your homework and expand your knowledge beyond what Fox News leads you to believe. I suggest you research multiple sources in order to really understand why gas prices are high NATIONWIDE.,Not Hope,Not Hope,1215
"𝗔𝗹𝗹𝗮𝗵 𝘀𝗮𝘆𝘀: 
I am just as my Salve thinks I am, (i.e, I am able to do for him what he thinks I can do for him) and I am with him if he remembers me.

What makes you think that Allah can't grant you what you yearn for desperately just because it seems impossible to you?",Not Hope,Not Hope,6232
"#USER# #USER# #USER# #USER# Every culture has fictions, true, but this one is so terrible that it creates the desire to go out and do it some more.",Not Hope,Not Hope,243
"$ASTA As we anticipate the end of #ExpertMarket -- remember to follow all the current ventures for  news/updates:

@astra_veda_ 
@ParanotekLLC 
@sayphr 
@PunchzeeApp 
@BBP_USA 
@ITBiometrics 
https://t.co/p22kpFx1lD 
Possible New Drone Company Acquisition 🔜",Hope,Generalized Hope,2274
#USER# Now that you mentioned it... I actually yearn for hobi vocals like a starved sunflower yearns for sunbeams,Not Hope,Not Hope,7018
"#USER# #USER# #USER# #USER# I'm just calling you out on your excuses about starting times lol.

Choose to watch however you want, but its a bit shitty pirating them isn't it.

Anyways, hope you learnt your lesson trying to compare FD to WM month lol",Hope,Generalized Hope,23
#USER# #USER# This is my 4th incarnation Smly!! I was completely banned when buffoon was in office. Please to meet you: followed you! ✨💫,Not Hope,Not Hope,5242
Every night I pray for my husband to get all the blessings this world have to offer him. He really deserve it all. 🥰,Hope,Generalized Hope,2877
"#USER# Well….I am trying to take a deep breath and wait to see how the Ginny Thomas situation and the midterms turn out. Perhaps after that there will be some hopes some right at risk will be codified. I can not say I a very hopeful at the moment, and I am a white mostly cis man. 1/2",Not Hope,Not Hope,2467
"#USER# #USER# Well yeah, I've studied film for 7 years I would expect my standards to be higher than the average consumer who only sees it as an entertainment form. I'm not saying they're bad people for enjoying movies I consider to be bad...",Not Hope,Not Hope,6913
"#USER# #USER# #USER# #USER# #USER# He was suspended, and had been told to not allow his players to pray with him on the field",Not Hope,Not Hope,876
"#USER# No. We need liberation from tyranny. Xi Jinping, Putin please help us. We yearn for freedom. #SOSUSA #HumanRights #Tyranny #Fascism #Oligarchy #Dystopia #Orwell1984 #PoliceState #FailedState #RogueState #WomensRights #MirandaRights #BoycottRights #CleanWaterRights #LGBTQRights #URL#",Hope,Unrealistic Hope,6742
#USER# #USER# Should’ve warned Leah what to expect IMO. This whole fiasco falls on your holding back Disney secrets. Part of the handshake deal was that secret “planted” resorts &amp; park workers use the words “Go Ducks” to harass &amp; terrify Washington fans vacationing with children.,Not Hope,Not Hope,2729
"A thought transfixed me: for the first time in my life I saw the truth as it is set into song by so many poets, proclaimed as the final wisdom by so many thinkers. The truth—that love is the ultimate and the highest goal to which man can aspire.",Not Hope,Not Hope,6588
The Point-In-Time (PIT) Count is a communitywide effort to get a snapshot of people experiencing homelessness on a single night at least every other year. Sacramento conducted its PIT Count in February 2022 and will post the results tomorrow. #URL# #URL#,Not Hope,Not Hope,6556
"#USER# ""Okay don’t believe me and why should I believe you did a internship 😂😂😂 like nah n*gga mess me with that bs"" #URL#",Not Hope,Not Hope,2585
