text,id,binary,multiclass
Rezo por tus logros como si fueran los míos ,7220,Hope,Generalized Hope
"Muerta de sueño pero ayer tire ""querés que cambiemos el horario y entre más temprano?"" ",7839,Not Hope,Not Hope
Le creo a la iamferv porque yo también tuve amigas así,6269,Not Hope,Not Hope
"RT Ethan,  Ariel haciendo un canje de ESSEN, es literalmente mi sueño #URL#",7642,Not Hope,Not Hope
"Quizá ella podrá ser más bonita que yo, pero yo rezo por ti todas las noches para que todo te vaya increíble al día siguiente",5337,Hope,Generalized Hope
Yo creo en el proceso de Pablo De Muner.   ,5123,Not Hope,Not Hope
"RT John,  Mi único deseo es que se vaya este calor del orto y que vuelva el frío",2811,Hope,Unrealistic Hope
"God,  Maravilloso,  ojalá otras mascotas en igual situación fueran rescatadas ,se que las personas que lo hacen siempre serán bendecidas",6226,Hope,Generalized Hope
"Ojalá que este domingo Zaldivia se transforme en un clon de Franco Baresi, para taparle la boca a los hinchas de la contra.  #VamosLaU  #URL#",80,Hope,Unrealistic Hope
Hace mes y medio descubrí este temardon que es de los 2000 y es oro puro. No sé como no había escuchado esto antes  #URL#,7207,Not Hope,Not Hope
Que ganas de tener a alguien que me espere con el almuerzo listo,1730,Hope,Realistic Hope
Quiero un perrito es lo único que quiero deseo y anhelo,8247,Not Hope,Not Hope
"Aunque no podamos volver a como solíamos ser, aunque estemos separados, desearía que al menos nos quedara la música.— Ugetsu Murata.",8256,Not Hope,Not Hope
"... creo que Ancelotti se ha sacado de la manga, es que estamos hablando de los últimos partidos o si quieres desde noviembre en Liga, me da igual, pero es que hay otros partidos y yo creo que Ancelotti, sí que ha hecho las cosas muy bien, creo que se es muy injusto con...",3334,Not Hope,Not Hope
"James,  le rezo todas las mañanas desde hace mas de un año",7825,Not Hope,Not Hope
"Ojalá volver a estar en ese momento porque después de un tiempo, por suerte bastante tiempo, mi vida empezó a ir cuesta abajo y sin frenos.",9089,Hope,Unrealistic Hope
"Joe y Jack, Una marcha sublime. La conocí en el CD del año 97 de la banda de música de la Esperanza de Triana y no entendía cómo no estaba en el ""top"" de marchas fúnebres, en la que hoy día sí la encontramos.",24,Not Hope,Not Hope
El que haya llamado a Sheng Longque se guarde un deseo y pida que Barcelona sea campeón internacional  #URL#,3796,Not Hope,Not Hope
"Mike y Jack, A mi lo que me asusta un poco de Lance es que no toma buena decisiones ni lee bien defensivas. Cada vez que sale de la bolsa era para rezar un rosario. Purdy no tiene un buen brazo, pero saca agua de las piedras y en el peor de los casos no pierde ni la pelota ni yardas.",1548,Not Hope,Not Hope
"Todas, Esperando con mucha atención las palabras de nuestro Presidente Leonel,  Todas, #URL#",8362,Not Hope,Not Hope
"Joe,  Eso te pasa por bocon,te la pasas criticando,atacando a Vinicius y de tu dizque equipo el Sevilla solo dices ""SOLO NOS QUEDA REZAR "" ahi no criticas nada,eres un bocaza.",8157,Not Hope,Not Hope
Es más estoy viendo curro Jiménez y cosiendo...yo creo que ya con eso...,5505,Not Hope,Not Hope
"resulta que me tocó recibir la llamada de uno de los de mantenimiento ((que no conozco y con el que nunca he hablado)) y se me escuchaba fatal el audio  tonces le digo ""espere me voy a la ventana que le escucho muy entrecortado""",7433,Not Hope,Not Hope
"Ethan,  Ojalá si sea zenkai a Pajazu LF por qué lo tengo a 4 rojas ",9071,Not Hope,Not Hope
Renace la esperanza en Argentina.. la gente esta empezando a reaccionar como se debe reaccionar. #URL#,7524,Hope,Generalized Hope
"Mike,  Ánimo ReZo, cuando quieras retar o hablar sin toxicidad de por medio aquí ando :(",9073,Not Hope,Not Hope
Ahí va mi colaboracion. Deseo que reciban mucha ayuda para sus rescataditos! Gracias x la gran obra que hacen. Dios los bendiga. #URL# #URL#,4365,Hope,Generalized Hope
"Ayer cenamos con mi padre la lady y yo, lo que significa que cenaron la lady y mi padre, yo conseguí abrir la boca al final de la cena para decir ""tengo sueño. Procedo a pedir la cuenta"" y me regañaron.",2943,Not Hope,Not Hope
"Nick y Tom, El creo. Q llega a Olimpia costo 0...no se paga nada.",5304,Not Hope,Not Hope
"RT Max y Paul, Buenas noches. No sé si os pasa pero yo ya no podría dormir sin rezar... ",7091,Not Hope,Not Hope
"Peter,  FUERZA HMNA  nos toca rezar nomas mucha suerte ",5788,Hope,Generalized Hope
"Ethan y Mike, Tranqui, y los datos siguen sin cargarlos. Creo que no quieren que saquemos las vergüenzas esta noche",1180,Not Hope,Not Hope
Damaris: “Anhelo que los peruanos podamos integrarnos” #URL# #Noticias  #Comparte #Música #Perú,7818,Hope,Realistic Hope
"RT Sam,  Cómo desearía poder decir todo lo que me guardo",3972,Not Hope,Not Hope
"amo tus aus y estoy deseando leer como siguen, me gustaría tener actualizaciones más seguido, pero entiendo que e… — Gracias por amarlos y por la paciencia, realmente si sigo es por las que me leen siempre sin apuro  #URL#",8298,Hope,Generalized Hope
"Nick,  No sé que pensar de ti, no creo que alguien crea aparte de ti que ese es un libro de educación sexual, si estabas buscando llamar la atención lo lograste pero quedando mal a nivel mental..",4280,Not Hope,Not Hope
"Eric y Paul, Habrá que ver qué clase de órdenes dieron: si de no ejecutar prisioneros o de no filmar durante la captura de los mismos... Ojalá las FFAA Ucranianas no repliquen estas cosas porque va a ser un festival horribles de videos de esta clase.",5789,Not Hope,Not Hope
Ansioso esperando que ridículo harán mañana los republicanos por el #8M2023,3288,Not Hope,Not Hope
"Todas, Pues yo deseando oirlo ya! Me encantaría ",2807,Hope,Generalized Hope
"RT God,  Aprobado!!!   Aunque ya tengo que esperar al próximo mes  #URL#",5041,Not Hope,Not Hope
"Buenas noches, deseando que el vejete saque espuma por la boca mañana en la Marranera. #URL#",3264,Hope,Unrealistic Hope
"RT Eric y Alex, Así no creo que pueda seguir gobernando ,  a esperar entonces!",5478,Not Hope,Not Hope
"RT Nick,  #Yosoysmashu hooola Smashu te deseo un feliz cumpleaños se te quiere mucho #URL#",2165,Hope,Generalized Hope
"Sarah,  Siento no servirte de más ayuda ¡Mucha suerte en tu anhelo!  #URL# #URL#",6495,Not Hope,Not Hope
"RT Max,  NO ESPERE QUE DIOS TE LO QUITE PARA DARLE VALOR A LO QUE TE DIÓ",5460,Not Hope,Not Hope
"Todas, Yo no sé la vdd, solo he visto aquí en tw hablar de éso, creo q son las famosas Granjas de  bots, seguro la q te envió dm lo sabe o San Google . Tmb el poner twits patrocinados o sea pagar.",3938,Not Hope,Not Hope
"Eric,  A ver si Eric,  o Eric,  nos traen Liquor and cigarettes que estoy a nada de pillarlo en italiano. Ellos tienen series de la autora así que rezo porque alguna de ellas lo traiga ",6899,Not Hope,Not Hope
"Ben,  A mi me pasó ayer, me transferi desde mi cuenta del banco, me debitaron la guita pero jamas ingreso a mercado pago. Hice el reclamo y me piden un numero de COELSA ID que obviamente no figura en el comprobante. Tambien tengo q esperar 48hs me dijo el banco para la resolucion.",5012,Not Hope,Not Hope
"da me copio ¿cómo me veis?   : intimidante, popular, siempre en la tl, ""me da miedo interactuar pero quiero"" : no se calla, divertide, salvaje, fiestas, flirt : personalidad suave, confortable, amigable, must protect : crush ""ojalá gustarle""",7821,Hope,Generalized Hope
"Eric,  Lo que estoy deseando es adaptarme y apuntarme al gimnasio... ",7012,Hope,Realistic Hope
"Joan Laporta afirmó que ya se plantea la renovación del contrato de #Xavi, sin importar si gane o no La Liga.  ""El quiere esperar a ver qué pasa, pero yo quiero darle tranquilidad. Xavi es una persona que no nos pide locuras y que entiende la situación del club"", agregó. #URL#",1639,Not Hope,Not Hope
"Paul y Mike, Creo que line es el WhatsApp de la gente oriental, por eso no se ve muy seguido en este lado del mundo.",8738,Not Hope,Not Hope
solo rezo que el solo de jisoo no sea balada,8577,Hope,Realistic Hope
"Ben,  Porque ese discurso de odio anti imperialista cala en las masas ignorantes lo cual les permite acceder al poder y a los recursos que esquilmarán a más no poder para luego escapar a vivir su sueño americano en el odiado imperio.",689,Not Hope,Not Hope
"Sarah,  En verdad quería verla antes, pero me esperé por lo mismo. Pero weona, literalmente quedé pal hoyo, sobretodo en el primer cap que aparte del asco que me dió me picaban las manos por sacarle la cresta a todos ",3158,Not Hope,Not Hope
"Max,  Gracias por el aviso, pero sería conveniente no esperar marzo (pago de permiso) para estas reparaciones.",4310,Not Hope,Not Hope
"Son chulqueros que pagan cuando quieren, tratan mal a la gente local y son informales, pagan cuando les da la gana porque casi que el dinero viaja en barcos desde la China, parece que para ellos las transferencias no existen y te hacen esperar una eternidad y son bravos todavía #URL#",5636,Not Hope,Not Hope
" RETABLO ""SOI DE DIOS"" |  El proyecto de retablo, diseño de Michael,  bajo encargo del tallista D. José Manuel López Ojeda, será la culminación de un anhelo por parte de la Hermandad.  #TDSCofrade #AmorYAmargura #URL#",176,Not Hope,Not Hope
desearía volver a estar en 4to semestre y disfrutar nuevamente ese año,4567,Hope,Realistic Hope
"Gente de bien, compasivas, con mucha empatía, en fin buena gente. Y después a rezar a la iglesia. Que asco  #URL#",7313,Not Hope,Not Hope
geografía se ve interesante mmm ojalá me guste y la profe no sea tan exigente ,458,Hope,Generalized Hope
"Sarah,  Su rezo es  ""Piedra nuestra que estás en los suelos...""",4652,Not Hope,Not Hope
"Michael,  Pregunto estos ORGANISMO IZQUIERDOS U DERECHOS HUMANOS !!!! Por las VICTIMAS QUIEN TUVO PIEDAD ??? BIEN HECHO Michael,   OJALÁ AQUÍ NUESTRO RESPETADO SR. PRESIDENTE SE FAJARA LOS PANTALONES HICIERA LO MISMO Michael,   ….. bien hecho Michael,  combatan crimen en mexico",7293,Not Hope,Not Hope
"Vivamos en la paciencia del Señor, esperando la venida de nuestro único y suficiente Señor y Salvador quien es Jesús. ¡¡CRISTO VIVE!!, ¡¡CRISTO VIENE!! EL FIN SE ACERCA.",7460,Hope,Generalized Hope
"Sarah,  Los más fieles siempre estamos esperando sus análisis Doc. Saludos desde México.",5913,Not Hope,Not Hope
"Yo de verdad tengo la esperanza de que es simplemente una joda de la caraja y que ella no es así, pq si no  #URL#",43,Hope,Realistic Hope
Anhelo poder tenerte pero detesto pasar por la fiebre de oro,7481,Hope,Unrealistic Hope
"Jack,  ¡Hola Esperanza! Hemos comprobado que ya hemos podido atender tu consulta por mensaje privado. Un saludo.",5258,Hope,Generalized Hope
"Desearía que mi cerebro conservara por más tiempo la información, tengo la memoria de un pececito",8957,Hope,Unrealistic Hope
"El discurso final de Kefka es muy bueno, y de verdad es una antítesis interesante a uno de los temas centrales del videojuego: la renovación de la fe y la esperanza en un mundo venido a menos.",8164,Not Hope,Not Hope
"chicos niki nucera esta esperando un bebi y me puse re contenta, nunca espere tanto un bebé ",8133,Not Hope,Not Hope
Comparto el orgullo de Esperanza en las RRSS ..... y DEBEMOS presumir de cantera.    #URL#,5017,Hope,Generalized Hope
"Alex,  se le cae la baba nere uf no sabe disimular no  tiene que invitarle a suchwita es que seguro que lo está deseando (ambos) y nada jo es que yoonmin = tú mi niña ",9049,Not Hope,Not Hope
Cada día se acerca el momento que tanto esperé y estoy tan feliz y triste al mismo tiempo,1006,Hope,Generalized Hope
LA CONCHA DE TU HERMANA PELADO FORRO OJALA JULIAN SE VAYA #URL#,87,Not Hope,Not Hope
"RT Nick,  Los saludo con cariño  Deseando se encuentren bien  #URL#",4190,Hope,Generalized Hope
"La escasez de agua comienza a afectar a algunas colonias de la capital del Estado de Tamaulipas, Ciudad Victoria, a los agricultores y ganaderos de la zona centro de la entidad. También ha provocado un aumento de incendios en la región #URL#",7093,Not Hope,Not Hope
ya he admitido que mclaren va a tener una temporada de mierda asi la unica solucion va a ser sufrir con el color papaya y rezar para que algo mejore,5590,Hope,Generalized Hope
Anhelo que Cate Blanchett se lleve el #Oscar por su brutal actuación en Tar. Amanecerá y veremos. #URL#,8637,Hope,Unrealistic Hope
"Peter,  buenos dias, llevo esperando mas de 2 dias habiles  el certificado de territorialidad para un requisito laboral y aun no me han dado respuesta y lo requiere urgente la empresa. Agradezco la ayuda!!",6901,Not Hope,Not Hope
"Peter,  Noooo, te deseo buena suerte y que apruebes la próxima vez, ponele muchas ganas y fuerzas!!!!!!! Es normal reprobar por x motivo o por lo q dejar en blanco el examen, a la próxima lo harás mejor :3:3:3",3739,Hope,Generalized Hope
"Nick,  Ya no sé que son. Más que por la ideología creo que pasar por algún problema mental",7235,Not Hope,Not Hope
"Joe y Nick, México Campeón del Mundo sub 17 Perú 2005,. México Campeón del Mundo Sub 17  2011. Medalla de Oro en  Brasil contra Brasil, Al menos tiene palmares",4918,Not Hope,Not Hope
"En el Templo de Poseidón en Paestum, uno de mis momentos más emocionantes haciendo fotos, entre esas columnas que tanto había estudiado. Se cumplió un sueño de muchos años.  #MRevilla #URL#",2161,Hope,Generalized Hope
"John,  Si y a las 6 de la mañana teniendo en cuenta que esta vez estaban a las 7 jajajajajajajajaa También puedo rezar que me toque el sorteo de la tienda y el premio sea ese ",7221,Not Hope,Not Hope
"""Anhelar a alguien es un placer más exquisito que tenerlo a tu lado"". #Agnes, de James, ",446,Not Hope,Not Hope
Solamente una cosa vuelve el sueño imposible: el miedo a fracasar.,3746,Not Hope,Not Hope
"A las 00 dije que me bañaba y me iba a dormir. Ahora son las 6:27 y en vez de dormir estoy sacando un standard en la guitarra. Ptm me quiero matar, de seguro ahora se me va a cambiar todo el sueño",6700,Not Hope,Not Hope
Hoy me hago una cirugía &amp; yo DESEARÍA tanto que fuera la Rinoplastia  JAAJJAJAAJAJJAAJ    Próximamente… ,5657,Not Hope,Not Hope
"Joe y God, Ojalá se pierda el flow, con estos ""bailes"" y ""música"" actuales, debería de pasar.",2852,Hope,Generalized Hope
"Max y Sam, Si en #Nicaragua no se puede rezar por Monseñor #RolandoAlvarez, en el Perú sí se puede. Pido una Misa por Monseñor. Señor, he oído tu anuncio ¡En tu ira no te olvides de la misericordia! Saliste para la salvación de tu pueblo, para salvación de tu ungido (Hab. 2, 2 .13).",5644,Not Hope,Not Hope
"James,  Su nivel de responsabilidad es 0 para ella,pero para el Derecho Consuetudinario es 100 x 100,ahora habrá q esperar q los organismos jurisdiccionales hagan prevalecer la verdad de los hechos y sancionen drásticamente,según corresponda a quienes desde su esfera de poder,destruyeron",4030,Not Hope,Not Hope
"¡Atención a todos los fans de Chainsaw Man!  El capítulo 122 del manga ya está aquí  ¡No puedo esperar para ver qué sucede con Asa, Yoru y Nayuta!  #ChainsawMan #Manga #Capitulo122 #Hype #Emocionado  ¡Corran a leerlo en el sitio oficial de Mangaplus!  #URL#",4849,Not Hope,Not Hope
"David,  En Bilbao abrieron un sitio de este pelo, menos dotado, diría. David,  lo probó, creo. No tardó en cerrar.",6558,Not Hope,Not Hope
"Sarah,  Esperanza cuando me hablas de ilusion, me engrandeces. Muy necesaria en este día a día. Gracias",6459,Not Hope,Not Hope
ai no soy fuerte no puedo seguir fingiendo q no desearia estar en el ateezconcierto #URL#,2080,Not Hope,Not Hope
yo cuando estoy muy nerviosa o tengo mucho sueño soy capaz de decir barbaridades barbaras #URL#,3406,Not Hope,Not Hope
"Jack,  Cuando el gobierno mexicano es inepto, incapaz, incompetente y corrupto además, no se puede esperar una respuesta diferente. Don't mess with de US law because they are not as dirty as you are used to. Allá no se andan con chn...gdrs",4570,Not Hope,Not Hope
"Creo que ya me debería poner a leer, rindo el jueves y no eh agarrado nadaaa",8794,Not Hope,Not Hope
Las amistades que dejé en chile valen oro se los juro que amo a esas personas.,5504,Hope,Generalized Hope
"Eric y God, Todavía seguimos esperando que se pase por la capilla ardiente de Don Alfredo.",8042,Hope,Realistic Hope
"Mike,  Sería un gran error, si así no cierras el pico menos sin ese artículo. Deberías regresar a tu país, pero creo que tampoco te quieren allá",5523,Not Hope,Not Hope
"James,  Que mal me hace. Me lastima. Lo odio profundamente. Le deseo lo peor y ya no en chiste. Preso, lesionado, en Chipre o en el Chelsea, pero lo necesito fiera de Boca por favor.",3216,Hope,Unrealistic Hope
Ahora que Hulu ha abandonado el proyecto de Scorsese y DiCaprio es la hora de rezar a todos los dioses que conozcáis para que sea Peacock o Paramount+ quienes compren la serie.,6882,Not Hope,Not Hope
Anhelo tanto ir a un concierto de ese hombre #URL#,1811,Hope,Realistic Hope
"Sarah y Sam, Tampoco tenemos que comer huevos, ni carne, ni azúcar, ni vegetales (no tenemos enzima para degradar la pared celular) ni niuna weá. Pura soya y pienso, volver a las cavernas, el sueño húmedo de los soyeros reculiaos arbóreos.",4457,Not Hope,Not Hope
"God,  Creo que pone en 3 días en el juego",2230,Not Hope,Not Hope
MAXIMUS YO REZO POR VOS A QUE GANES HERMANO T RE BANCO,3721,Hope,Generalized Hope
"Sam,  Sii~~~  Hasta ahorita solo trool y mi reina han sido mis juguetes personales. Pero creo que añadire otro a mi lista.",7934,Not Hope,Not Hope
Que más desearía que dejara de ser un simple sueño nada más ,1498,Hope,Unrealistic Hope
"Muy de acuerdo. Me enfado cada vez que citan a reunión, llegó a la hora y pretenden que hay que esperar una hora por los que no llegan. #URL#",6133,Not Hope,Not Hope
"+ mirándolo con anhelo. ""… iikaesenai!"" así como la canción, no podía admitir que el control de otra persona le parecía absorbente. '¡La cara enojada que te muestro ES FALSA!' cantaron al unísono.   Es que encima la ponían con un chico encantador, ¡se estaba +",5629,Not Hope,Not Hope
¿Quién más deseando que llegue el viernes para #Scream6 ?,489,Not Hope,Not Hope
"Y en el caos abres horizontes siembras vida, engendras. Apuestas, siempre arriesgado, por nosotros la abundancia de tanta vida. Haz germinar, como en el cosmos, todo aquello que quieras en nosotros. Aquí estamos, deseando que tanta Vida nos habite. (2/2)  Matu Hardoy #URL#",8633,Hope,Unrealistic Hope
"Peter,  Fernan yo no lo estoy viendo porque estoy fuera, pero de ¿qué te sorprendes?. Es que no hay. A rezar para llegar a 42 puntos.",3952,Not Hope,Not Hope
iré a ver south park hasta k m agarre el sueño ,6959,Hope,Realistic Hope
"Mike y Eric, Digo ""basta"" en mi defensa y en defensa d todos los difamados, agredidos, denostados injustam. Deseo qLos jueces defiendan el derecho aRecibir información gubernamental veraz, objetiva, oportuna ySin sesgos como lo señala la Constitución: Max,  #URL#",3672,Not Hope,Not Hope
"Eric,  Termine Eric,  es lo que debe de hacer. Lo dejo abandonado o esperando que sea el 2024 para terminarlo. Y no permita que acueducto rompa las calles que se arreglaron. Si lo permite, repárelo inmediatamente no espere años. Eric,   está rompiendo todas las carreteras.",2824,Not Hope,Not Hope
"John y James, Claro. todas las empresas están deseando que lleguen personas con esa edad. Y las hacen fijas al día suiente, para que no pierdan un sólo día de cotización.",1896,Not Hope,Not Hope
"Ben y Peter, Toca esperar para que vuelva a los streams, preguntarle sobre el tema donandole, y sacar clip.",7644,Not Hope,Not Hope
Vale pues me levanto de la cama y me pongo a hacer cosas gracias Esperanza #URL#,1420,Not Hope,Not Hope
"La última vez creo que no me dijiste lo que eras, por cierto. Dímelo y mañana te añado a la lista #URL#",2317,Not Hope,Not Hope
"RT Alex,  pa las xapis soy talibán las cojo del pelo y las pongo a rezar",391,Not Hope,Not Hope
"Qué bueno se puede esperar del producto humano que ofrece este modelo socioeconómico, donde la mayoría es individualista, consumista, competitivo, egoísta, violento y sobretodo ignorante sin análisis propio. ¡¡¡ El maldito mercado neoliberal, es un monstruo que pisa fuerte...!!!",6854,Not Hope,Not Hope
"Anhelo tener el amor que tuviste con mi tío, deseo ser la mujer con lealtad que eras aspiro a amar y cuidar como tú lo hacías y agradezco el amor que me diste desde que me conociste te amo y me dueles, me dueles mucho pero tengo paz porque sé el ser humano que fuiste en vida  #URL#",2816,Hope,Realistic Hope
"""Amo mi soledad,                                      pero anhelo algún día encontrar una buena compañía"" #URL#",7272,Hope,Generalized Hope
"James,  Mmmm supongo, solo desearía saber el porqué y disculparme",4169,Not Hope,Not Hope
"Disfruten el secundario y ser promo porque yo extraño un monton eso,y si pudiera pedir un deseo,desearia volver a esto #URL#",3287,Hope,Unrealistic Hope
muerto vivo estoy esperando a la siguiente clase que sólo me quedo 1h y va a ser la hora más larga de mi p word vida,2296,Not Hope,Not Hope
"Ben,  Buenas noches, deseo dar de baja el cargo recurrente a mi TC de mi servicio, cual es el procedimiento? Trato de hacerlo desde la pagina web y no me lo permite. Ya les escribi en privado pero el bot virtual no me ayuda en nada",156,Not Hope,Not Hope
"Paul,  No es que no hay avances, es que personajes como estos se niegan a aceptarlo, si el quiere esperar muy su problema habiendo otras opciones , no cabe duda que entre más viejo más pdjo.",815,Not Hope,Not Hope
"Sarah y Ethan, Te diría que ojalá, pero es muy convincente",3149,Not Hope,Not Hope
"#ElRetoFUTVE #VenezuelaEsFUTVE 1: Que la madre de un jugador tenga que ligar (para no decir rezar) que lo convoquen al juego (y antes que no sufra expulsión o acumulación de amarillas)  En una plantilla de 40, que convoquen 18~22. Es difícil. A veces una lotería",4070,Not Hope,Not Hope
"Vivir atenido a lo que te da un man debe ser fatal, o sea esperar que a un man le dé la gana de comprarte tal cosa",4044,Not Hope,Not Hope
La danza folclórica me da vida.  Ansío poder presentarme pronto.,4286,Hope,Realistic Hope
"Joe,  Mi mamá conoció sus últimos dos esposos en un chat jaja. Es real, pero no creo que para alarmarse. ¿O si?",9139,Not Hope,Not Hope
"Hoy en John,  hablamos de La fortaleza. En John,   ""A medida que avanzamos en la lectura, vamos deseando que algo interrumpa, por salvación o desgracia, este devenir, esta lucha entre el individuo y el mundo"" #URL#",8232,Hope,Generalized Hope
"Duele ver cmo t cags la vida, rezo y le pido a dios tds los días x vs...",8781,Not Hope,Not Hope
O dios que lle rezo!!!! O !!! FORZA COMPOS!!! #URL#,3603,Not Hope,Not Hope
"Eric y Peter, Y aun asi le dieron el balón de oro a modric vaya vergüenza se lo merecía el",878,Not Hope,Not Hope
"Nick,  Digamos que normalmente tu sueño pasa por una puerta, así te va dando sueño gradualmente. Ahora, el café cierra esa puerta y tu sueño ya no puede pasar formándose senda fila, cuando deja de hacer efecto toda esa fila de sueño entra al tiro y zzz. O por lo menos así lo recuerdo xd #URL#",134,Not Hope,Not Hope
"reino durante una temporada, hasta que las cosas se calmasen.   por lo que, acompañada de un guardia personal, usamah se dirigió a ukreos... esperando con desesperación que su diosa al fin la considerase digna.",4214,Hope,Realistic Hope
"Alex,  Se está creyendo que le van a dar la presidencia el oportunista , será mejor que espere sentado.",5465,Not Hope,Not Hope
Por bobo o por vivo... por la incertidumbre de no poder ver lo que ansío...,5061,Not Hope,Not Hope
"Ben,  Buenos dias deseando que tengas un feliz inicio de semana",5472,Hope,Generalized Hope
"Nick,  la ulti al principio me dejó re tiesa ajsj dije wtf esto real?  ahora si me lo cruzo rezo porq lo use un manco nomas",6243,Not Hope,Not Hope
"”Voy a seguir aqui dando por culo, no vais a poder conmigo”  Ya les dije que la amo? Le rezo a esa mujer empoderada, hermosa #URL#",8645,Hope,Generalized Hope
"""Todos llevamos cargas, tenemos un camino por recorrer y nuestro anhelo de hacer el bien y alcanzar la felicidad que nos guía para superar los contratiempos y los errores que nos separan de la paz"".  ""Mujercitas"", Louisa May Alcott  Ferdinando Scianna",6472,Hope,Generalized Hope
"RT John,  hay momentos en mi vida donde he sido tan feliz q desearía poder revivirlos una y otra vez",7043,Hope,Unrealistic Hope
"Todas, Esos corresponsales de prensa no vieron cómo fueron apedreados? No escucharon sus testimonios??Objetivamente me parece qué hay una responsabilidad de ambos lados. Se deben esperar las investigaciones.",4880,Not Hope,Not Hope
"Nick y Sam, Ahora si salis con un asiento de mierda, sentis molestias y o se te duerme el bicho y todo seguis dandole rosca horas sobre el sillin, no espere tener ningun problema.",4723,Not Hope,Not Hope
Rezo porque 3 personas de aquí no se vayan #URL#,5038,Hope,Generalized Hope
"39. La caja de Pandora (2007). Ese bizcocho lleno de moho me recuerda a un puzle. Supone una mejoría de la fórmula planteada por su predecesor. Los puzles son más complicados y la trama es mucho más interesante, especialmente en su tercio final. Deseando seguir esta aventura. #URL#",4906,Hope,Realistic Hope
Ojalá fuera cierto. Vamos a quedar eliminados y los arrodillados por boletas e indumentaria van a salir a decir que en las buenas y en las malas mucho más. #URL#,331,Hope,Unrealistic Hope
