text,binary,multiclass,id
Ahí va mi colaboracion. Deseo que reciban mucha ayuda para sus rescataditos! Gracias x la gran obra que hacen. Dios los bendiga. #URL# #URL#,Hope,Generalized Hope,4365
"Ayer cenamos con mi padre la lady y yo, lo que significa que cenaron la lady y mi padre, yo conseguí abrir la boca al final de la cena para decir ""tengo sueño. Procedo a pedir la cuenta"" y me regañaron.",Not Hope,Not Hope,2943
#USER# #USER# El creo. Q llega a Olimpia costo 0...no se paga nada.,Not Hope,Not Hope,5304
RT #USER# #USER# Buenas noches. No sé si os pasa pero yo ya no podría dormir sin rezar... 🥰,Not Hope,Not Hope,7091
#USER# FUERZA HMNA🙏  nos toca rezar nomas mucha suerte 😢,Hope,Generalized Hope,5788
"#USER# #USER# Tranqui, y los datos siguen sin cargarlos. Creo que no quieren que saquemos las vergüenzas esta noche",Not Hope,Not Hope,1180
Damaris: “Anhelo que los peruanos podamos integrarnos” https://t.co/xOmiyfRcmR #Noticias  #Comparte #Música #Perú,Hope,Realistic Hope,7818
RT #USER# Cómo desearía poder decir todo lo que me guardo,Not Hope,Not Hope,3972
"amo tus aus y estoy deseando leer como siguen, me gustaría tener actualizaciones más seguido, pero entiendo que e… — Gracias por amarlos y por la paciencia, realmente si sigo es por las que me leen siempre sin apuro ❤ #URL#",Hope,Generalized Hope,8298
"#USER# No sé que pensar de ti, no creo que alguien crea aparte de ti que ese es un libro de educación sexual, si estabas buscando llamar la atención lo lograste pero quedando mal a nivel mental..",Not Hope,Not Hope,4280
#USER# #USER# Habrá que ver qué clase de órdenes dieron: si de no ejecutar prisioneros o de no filmar durante la captura de los mismos... Ojalá las FFAA Ucranianas no repliquen estas cosas porque va a ser un festival horribles de videos de esta clase.,Not Hope,Not Hope,5789
Ansioso esperando que ridículo harán mañana los republicanos por el #8M2023,Not Hope,Not Hope,3288
#USER# #USER# #USER# Pues yo deseando oirlo ya! Me encantaría 👏🏻😘,Hope,Generalized Hope,2807
RT #USER# Aprobado!!! 🍷  Aunque ya tengo que esperar al próximo mes 🤣🤣 #URL#,Not Hope,Not Hope,5041
"Buenas noches, deseando que el vejete saque espuma por la boca mañana en la Marranera. #URL#",Hope,Unrealistic Hope,3264
"RT #USER# #USER# Así no creo que pueda seguir gobernando ,  a esperar entonces!",Not Hope,Not Hope,5478
RT #USER# #Yosoysmashu hooola Smashu te deseo un feliz cumpleaños se te quiere mucho #URL#,Hope,Generalized Hope,2165
#USER# Siento no servirte de más ayuda ¡Mucha suerte en tu anhelo!  https://t.co/qM2bNwsJEJ https://t.co/1Okzydi0ff,Not Hope,Not Hope,6495
RT #USER# NO ESPERE QUE DIOS TE LO QUITE PARA DARLE VALOR A LO QUE TE DIÓ,Not Hope,Not Hope,5460
"#USER# #USER# #USER# #USER# #USER# #USER# #USER# Yo no sé la vdd, solo he visto aquí en tw hablar de éso, creo q son las famosas Granjas de  bots, seguro la q te envió dm lo sabe o San Google 😁. Tmb el poner twits patrocinados o sea pagar.",Not Hope,Not Hope,3938
#USER# A ver si #USER# o #USER# nos traen Liquor and cigarettes que estoy a nada de pillarlo en italiano. Ellos tienen series de la autora así que rezo porque alguna de ellas lo traiga 🙏🙏🙏,Not Hope,Not Hope,6899
"#USER# A mi me pasó ayer, me transferi desde mi cuenta del banco, me debitaron la guita pero jamas ingreso a mercado pago. Hice el reclamo y me piden un numero de COELSA ID que obviamente no figura en el comprobante. Tambien tengo q esperar 48hs me dijo el banco para la resolucion.",Not Hope,Not Hope,5012
"da me copio ¿cómo me veis?   😈: intimidante, popular, siempre en la tl, ""me da miedo interactuar pero quiero"" 🤪: no se calla, divertide, salvaje, fiestas, flirt 🐶: personalidad suave, confortable, amigable, must protect 💜: crush ""ojalá gustarle""",Hope,Generalized Hope,7821
#USER# Lo que estoy deseando es adaptarme y apuntarme al gimnasio... 😭😭😭😭😭😭,Hope,Realistic Hope,7012
"Joan Laporta afirmó que ya se plantea la renovación del contrato de #Xavi, sin importar si gane o no La Liga.  🗣️""El quiere esperar a ver qué pasa, pero yo quiero darle tranquilidad. Xavi es una persona que no nos pide locuras y que entiende la situación del club"", agregó. #URL#",Not Hope,Not Hope,1639
"#USER# #USER# Creo que line es el WhatsApp de la gente oriental, por eso no se ve muy seguido en este lado del mundo.",Not Hope,Not Hope,8738
solo rezo que el solo de jisoo no sea balada,Hope,Realistic Hope,8577
#USER# Porque ese discurso de odio anti imperialista cala en las masas ignorantes lo cual les permite acceder al poder y a los recursos que esquilmarán a más no poder para luego escapar a vivir su sueño americano en el odiado imperio.,Not Hope,Not Hope,689
"#USER# En verdad quería verla antes, pero me esperé por lo mismo. Pero weona, literalmente quedé pal hoyo, sobretodo en el primer cap que aparte del asco que me dió me picaban las manos por sacarle la cresta a todos 😭💔",Not Hope,Not Hope,3158
"#USER# Gracias por el aviso, pero sería conveniente no esperar marzo (pago de permiso) para estas reparaciones.",Not Hope,Not Hope,4310
"Son chulqueros que pagan cuando quieren, tratan mal a la gente local y son informales, pagan cuando les da la gana porque casi que el dinero viaja en barcos desde la China, parece que para ellos las transferencias no existen y te hacen esperar una eternidad y son bravos todavía😡 #URL#",Not Hope,Not Hope,5636
"🔸 RETABLO ""SOI DE DIOS"" | 📌 El proyecto de retablo, diseño de #USER# bajo encargo del tallista D. José Manuel López Ojeda, será la culminación de un anhelo por parte de la Hermandad.  #TDSCofrade #AmorYAmargura #URL#",Not Hope,Not Hope,176
desearía volver a estar en 4to semestre y disfrutar nuevamente ese año,Hope,Realistic Hope,4567
"Gente de bien, compasivas, con mucha empatía, en fin buena gente. Y después a rezar a la iglesia. Que asco  https://t.co/MRMLLXQ75k",Not Hope,Not Hope,7313
geografía se ve interesante mmm ojalá me guste y la profe no sea tan exigente 😭,Hope,Generalized Hope,458
"#USER# Su rezo es  ""Piedra nuestra que estás en los suelos...""",Not Hope,Not Hope,4652
#USER# Pregunto estos ORGANISMO IZQUIERDOS U DERECHOS HUMANOS !!!! Por las VICTIMAS QUIEN TUVO PIEDAD ??? BIEN HECHO #USER#  OJALÁ AQUÍ NUESTRO RESPETADO SR. PRESIDENTE SE FAJARA LOS PANTALONES HICIERA LO MISMO #USER#  ….. bien hecho #USER# combatan crimen en mexico,Not Hope,Not Hope,7293
"Vivamos en la paciencia del Señor, esperando la venida de nuestro único y suficiente Señor y Salvador quien es Jesús❤. ¡¡CRISTO VIVE!!, ¡¡CRISTO VIENE!! EL FIN SE ACERCA.",Hope,Generalized Hope,7460
#USER# Los más fieles siempre estamos esperando sus análisis Doc. Saludos desde México.,Not Hope,Not Hope,5913
"Yo de verdad tengo la esperanza de que es simplemente una joda de la caraja y que ella no es así, pq si no 💀 #URL#",Hope,Realistic Hope,43
Anhelo poder tenerte pero detesto pasar por la fiebre de oro,Hope,Unrealistic Hope,7481
#USER# ¡Hola Esperanza! Hemos comprobado que ya hemos podido atender tu consulta por mensaje privado. Un saludo.,Hope,Generalized Hope,5258
"Desearía que mi cerebro conservara por más tiempo la información, tengo la memoria de un pececito",Hope,Unrealistic Hope,8957
"El discurso final de Kefka es muy bueno, y de verdad es una antítesis interesante a uno de los temas centrales del videojuego: la renovación de la fe y la esperanza en un mundo venido a menos.",Not Hope,Not Hope,8164
"chicos niki nucera esta esperando un bebi y me puse re contenta, nunca espere tanto un bebé 😭😭😭😭😭😭😭😭",Not Hope,Not Hope,8133
Comparto el orgullo de Esperanza en las RRSS ..... y DEBEMOS presumir de cantera.   👇 #URL#,Hope,Generalized Hope,5017
#USER# se le cae la baba nere uf no sabe disimular no 🤭 tiene que invitarle a suchwita es que seguro que lo está deseando (ambos) y nada jo es que yoonmin = tú mi niña 🫶🏻,Not Hope,Not Hope,9049
Cada día se acerca el momento que tanto esperé y estoy tan feliz y triste al mismo tiempo🙃,Hope,Generalized Hope,1006
LA CONCHA DE TU HERMANA PELADO FORRO OJALA JULIAN SE VAYA #URL#,Not Hope,Not Hope,87
RT #USER# Los saludo con cariño ❤ Deseando se encuentren bien 💚💫⚡✨ #URL#,Hope,Generalized Hope,4190
"La escasez de agua comienza a afectar a algunas colonias de la capital del Estado de Tamaulipas, Ciudad Victoria, a los agricultores y ganaderos de la zona centro de la entidad. También ha provocado un aumento de incendios en la región #URL#",Not Hope,Not Hope,7093
ya he admitido que mclaren va a tener una temporada de mierda asi la unica solucion va a ser sufrir con el color papaya y rezar para que algo mejore,Hope,Generalized Hope,5590
Anhelo que Cate Blanchett se lleve el #Oscar por su brutal actuación en Tar. Amanecerá y veremos. #URL#,Hope,Unrealistic Hope,8637
"#USER# buenos dias, llevo esperando mas de 2 dias habiles  el certificado de territorialidad para un requisito laboral y aun no me han dado respuesta y lo requiere urgente la empresa. Agradezco la ayuda!!",Not Hope,Not Hope,6901
"#USER# Noooo, te deseo buena suerte y que apruebes la próxima vez, ponele muchas ganas y fuerzas!!!!!!! Es normal reprobar por x motivo o por lo q dejar en blanco el examen, a la próxima lo harás mejor :3:3:3",Hope,Generalized Hope,3739
#USER# Ya no sé que son. Más que por la ideología creo que pasar por algún problema mental,Not Hope,Not Hope,7235
"#USER# #USER# México Campeón del Mundo sub 17 Perú 2005,. México Campeón del Mundo Sub 17  2011. Medalla de Oro en  Brasil contra Brasil, Al menos tiene palmares",Not Hope,Not Hope,4918
"En el Templo de Poseidón en Paestum, uno de mis momentos más emocionantes haciendo fotos, entre esas columnas que tanto había estudiado. Se cumplió un sueño de muchos años.  📷#MRevilla #URL#",Hope,Generalized Hope,2161
#USER# Si y a las 6 de la mañana teniendo en cuenta que esta vez estaban a las 7 jajajajajajajajaa También puedo rezar que me toque el sorteo de la tienda y el premio sea ese 🙃,Not Hope,Not Hope,7221
"""Anhelar a alguien es un placer más exquisito que tenerlo a tu lado"". #Agnes, de #USER#",Not Hope,Not Hope,446
Solamente una cosa vuelve el sueño imposible: el miedo a fracasar.,Not Hope,Not Hope,3746
"A las 00 dije que me bañaba y me iba a dormir. Ahora son las 6:27 y en vez de dormir estoy sacando un standard en la guitarra. Ptm me quiero matar, de seguro ahora se me va a cambiar todo el sueño",Not Hope,Not Hope,6700
Hoy me hago una cirugía &amp; yo DESEARÍA tanto que fuera la Rinoplastia 🤌🏻😮‍💨😮‍💨 JAAJJAJAAJAJJAAJ    Próximamente… 🤞🏻,Not Hope,Not Hope,5657
"#USER# #USER# Ojalá se pierda el flow, con estos ""bailes"" y ""música"" actuales, debería de pasar.",Hope,Generalized Hope,2852
"#USER# #USER# Si en #Nicaragua no se puede rezar por Monseñor #RolandoAlvarez, en el Perú sí se puede. Pido una Misa por Monseñor. Señor, he oído tu anuncio ¡En tu ira no te olvides de la misericordia! Saliste para la salvación de tu pueblo, para salvación de tu ungido (Hab. 2, 2 .13).",Not Hope,Not Hope,5644
"#USER# Su nivel de responsabilidad es 0 para ella,pero para el Derecho Consuetudinario es 100 x 100,ahora habrá q esperar q los organismos jurisdiccionales hagan prevalecer la verdad de los hechos y sancionen drásticamente,según corresponda a quienes desde su esfera de poder,destruyeron",Not Hope,Not Hope,4030
"¡Atención a todos los fans de Chainsaw Man! 📣 El capítulo 122 del manga ya está aquí 🔥 ¡No puedo esperar para ver qué sucede con Asa, Yoru y Nayuta! 🤯 #ChainsawMan #Manga #Capitulo122 #Hype #Emocionado 😍🔥 ¡Corran a leerlo en el sitio oficial de Mangaplus! 🏃‍♂️💨 #URL#",Not Hope,Not Hope,4849
"#USER# En Bilbao abrieron un sitio de este pelo, menos dotado, diría. #USER# lo probó, creo. No tardó en cerrar.",Not Hope,Not Hope,6558
"#USER# Esperanza cuando me hablas de ilusion, me engrandeces. Muy necesaria en este día a día. Gracias",Not Hope,Not Hope,6459
ai no soy fuerte no puedo seguir fingiendo q no desearia estar en el ateezconcierto #URL#,Not Hope,Not Hope,2080
yo cuando estoy muy nerviosa o tengo mucho sueño soy capaz de decir barbaridades barbaras #URL#,Not Hope,Not Hope,3406
"#USER# Cuando el gobierno mexicano es inepto, incapaz, incompetente y corrupto además, no se puede esperar una respuesta diferente. Don't mess with de US law because they are not as dirty as you are used to. Allá no se andan con chn...gdrs",Not Hope,Not Hope,4570
"Creo que ya me debería poner a leer, rindo el jueves y no eh agarrado nadaaa",Not Hope,Not Hope,8794
Las amistades que dejé en chile valen oro se los juro que amo a esas personas.,Hope,Generalized Hope,5504
#USER# #USER# Todavía seguimos esperando que se pase por la capilla ardiente de Don Alfredo.,Hope,Realistic Hope,8042
"#USER# Sería un gran error, si así no cierras el pico menos sin ese artículo. Deberías regresar a tu país, pero creo que tampoco te quieren allá",Not Hope,Not Hope,5523
"#USER# Que mal me hace. Me lastima. Lo odio profundamente. Le deseo lo peor y ya no en chiste. Preso, lesionado, en Chipre o en el Chelsea, pero lo necesito fiera de Boca por favor.",Hope,Unrealistic Hope,3216
Ahora que Hulu ha abandonado el proyecto de Scorsese y DiCaprio es la hora de rezar a todos los dioses que conozcáis para que sea Peacock o Paramount+ quienes compren la serie.,Not Hope,Not Hope,6882
Anhelo tanto ir a un concierto de ese hombre😮‍💨 #URL#,Hope,Realistic Hope,1811
"#USER# #USER# Tampoco tenemos que comer huevos, ni carne, ni azúcar, ni vegetales (no tenemos enzima para degradar la pared celular) ni niuna weá. Pura soya y pienso, volver a las cavernas, el sueño húmedo de los soyeros reculiaos arbóreos.",Not Hope,Not Hope,4457
#USER# Creo que pone en 3 días en el juego,Not Hope,Not Hope,2230
MAXIMUS YO REZO POR VOS A QUE GANES HERMANO T RE BANCO,Hope,Generalized Hope,3721
#USER# Sii~~~  Hasta ahorita solo trool y mi reina han sido mis juguetes personales.🤭 Pero creo que añadire otro a mi lista.😀❤️😈,Not Hope,Not Hope,7934
Que más desearía que dejara de ser un simple sueño nada más 🫠,Hope,Unrealistic Hope,1498
"Muy de acuerdo. Me enfado cada vez que citan a reunión, llegó a la hora y pretenden que hay que esperar una hora por los que no llegan. #URL#",Not Hope,Not Hope,6133
"+ mirándolo con anhelo. ""… iikaesenai!"" así como la canción, no podía admitir que el control de otra persona le parecía absorbente. '¡La cara enojada que te muestro ES FALSA!' cantaron al unísono.   Es que encima la ponían con un chico encantador, ¡se estaba +",Not Hope,Not Hope,5629
¿Quién más deseando que llegue el viernes para #Scream6 ?,Not Hope,Not Hope,489
"Y en el caos abres horizontes siembras vida, engendras. Apuestas, siempre arriesgado, por nosotros la abundancia de tanta vida. Haz germinar, como en el cosmos, todo aquello que quieras en nosotros. Aquí estamos, deseando que tanta Vida nos habite. (2/2)  Matu Hardoy #URL#",Hope,Unrealistic Hope,8633
"#USER# Fernan yo no lo estoy viendo porque estoy fuera, pero de ¿qué te sorprendes?. Es que no hay. A rezar para llegar a 42 puntos.",Not Hope,Not Hope,3952
iré a ver south park hasta k m agarre el sueño 😓,Hope,Realistic Hope,6959
"#USER# #USER# Digo ""basta"" en mi defensa y en defensa d todos los difamados, agredidos, denostados injustam. Deseo qLos jueces defiendan el derecho aRecibir información gubernamental veraz, objetiva, oportuna ySin sesgos como lo señala la Constitución: #USER# #URL#",Not Hope,Not Hope,3672
"#USER# Termine #USER# es lo que debe de hacer. Lo dejo abandonado o esperando que sea el 2024 para terminarlo. Y no permita que acueducto rompa las calles que se arreglaron. Si lo permite, repárelo inmediatamente no espere años. #USER#  está rompiendo todas las carreteras.",Not Hope,Not Hope,2824
"#USER# #USER# Claro. todas las empresas están deseando que lleguen personas con esa edad. Y las hacen fijas al día suiente, para que no pierdan un sólo día de cotización.",Not Hope,Not Hope,1896
"#USER# #USER# Toca esperar para que vuelva a los streams, preguntarle sobre el tema donandole, y sacar clip.",Not Hope,Not Hope,7644
Vale pues me levanto de la cama y me pongo a hacer cosas gracias Esperanza #URL#,Not Hope,Not Hope,1420
"La última vez creo que no me dijiste lo que eras, por cierto. Dímelo y mañana te añado a la lista #URL#",Not Hope,Not Hope,2317
RT #USER# pa las xapis soy talibán las cojo del pelo y las pongo a rezar,Not Hope,Not Hope,391
"Qué bueno se puede esperar del producto humano que ofrece este modelo socioeconómico, donde la mayoría es individualista, consumista, competitivo, egoísta, violento y sobretodo ignorante sin análisis propio. ¡¡¡ El maldito mercado neoliberal, es un monstruo que pisa fuerte...!!!",Not Hope,Not Hope,6854
"Anhelo tener el amor que tuviste con mi tío, deseo ser la mujer con lealtad que eras aspiro a amar y cuidar como tú lo hacías y agradezco el amor que me diste desde que me conociste te amo y me dueles, me dueles mucho pero tengo paz porque sé el ser humano que fuiste en vida ❤️❤️ #URL#",Hope,Realistic Hope,2816
"""Amo mi soledad, ☕                                     pero anhelo algún día encontrar una buena compañía"" #URL#",Hope,Generalized Hope,7272
"#USER# Mmmm supongo, solo desearía saber el porqué y disculparme",Not Hope,Not Hope,4169
"Disfruten el secundario y ser promo porque yo extraño un monton eso,y si pudiera pedir un deseo,desearia volver a esto✨ #URL#",Hope,Unrealistic Hope,3287
muerto vivo estoy esperando a la siguiente clase que sólo me quedo 1h y va a ser la hora más larga de mi p word vida,Not Hope,Not Hope,2296
"#USER# Buenas noches, deseo dar de baja el cargo recurrente a mi TC de mi servicio, cual es el procedimiento? Trato de hacerlo desde la pagina web y no me lo permite. Ya les escribi en privado pero el bot virtual no me ayuda en nada",Not Hope,Not Hope,156
"#USER# No es que no hay avances, es que personajes como estos se niegan a aceptarlo, si el quiere esperar muy su problema habiendo otras opciones 🤦, no cabe duda que entre más viejo más pdjo.",Not Hope,Not Hope,815
"#USER# #USER# Te diría que ojalá, pero es muy convincente",Not Hope,Not Hope,3149
"#ElRetoFUTVE #VenezuelaEsFUTVE 1: Que la madre de un jugador tenga que ligar (para no decir rezar) que lo convoquen al juego (y antes que no sufra expulsión o acumulación de amarillas)  En una plantilla de 40, que convoquen 18~22. Es difícil. A veces una lotería",Not Hope,Not Hope,4070
"Vivir atenido a lo que te da un man debe ser fatal, o sea esperar que a un man le dé la gana de comprarte tal cosa",Not Hope,Not Hope,4044
La danza folclórica me da vida. 💖 Ansío poder presentarme pronto.,Hope,Realistic Hope,4286
"#USER# Mi mamá conoció sus últimos dos esposos en un chat jaja. Es real, pero no creo que para alarmarse. ¿O si?",Not Hope,Not Hope,9139
"Hoy en #USER# hablamos de La fortaleza. En #USER#  ""A medida que avanzamos en la lectura, vamos deseando que algo interrumpa, por salvación o desgracia, este devenir, esta lucha entre el individuo y el mundo"" https://t.co/kdTrpATdp1",Hope,Generalized Hope,8232
"Duele ver cmo t cags la vida, rezo y le pido a dios tds los días x vs...",Not Hope,Not Hope,8781
O dios que lle rezo!!!! O 👑!!! FORZA COMPOS!!! #URL#,Not Hope,Not Hope,3603
#USER# #USER# Y aun asi le dieron el balón de oro a modric vaya vergüenza se lo merecía el,Not Hope,Not Hope,878
"#USER# Digamos que normalmente tu sueño pasa por una puerta, así te va dando sueño gradualmente. Ahora, el café cierra esa puerta y tu sueño ya no puede pasar formándose senda fila, cuando deja de hacer efecto toda esa fila de sueño entra al tiro y zzz. O por lo menos así lo recuerdo xd #URL#",Not Hope,Not Hope,134
"reino durante una temporada, hasta que las cosas se calmasen.   por lo que, acompañada de un guardia personal, usamah se dirigió a ukreos... esperando con desesperación que su diosa al fin la considerase digna.",Hope,Realistic Hope,4214
"#USER# Se está creyendo que le van a dar la presidencia el oportunista , será mejor que espere sentado.",Not Hope,Not Hope,5465
Por bobo o por vivo... por la incertidumbre de no poder ver lo que ansío...,Not Hope,Not Hope,5061
#USER# Buenos dias deseando que tengas un feliz inicio de semana,Hope,Generalized Hope,5472
#USER# la ulti al principio me dejó re tiesa ajsj dije wtf esto real?  ahora si me lo cruzo rezo porq lo use un manco nomas,Not Hope,Not Hope,6243
"”Voy a seguir aqui dando por culo, no vais a poder conmigo”🛐  Ya les dije que la amo?💜 Le rezo a esa mujer empoderada, hermosa #URL#",Hope,Generalized Hope,8645
"""Todos llevamos cargas, tenemos un camino por recorrer y nuestro anhelo de hacer el bien y alcanzar la felicidad que nos guía para superar los contratiempos y los errores que nos separan de la paz"".  ""Mujercitas"", Louisa May Alcott  📷Ferdinando Scianna",Hope,Generalized Hope,6472
